"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"X02AO.1",57,1.26274242128615,1.37818216839563,0.200344588890492,5,-0.576205964677071,0.5,9
"X03AA.1",50,1.00547980888158,1.26235587680408,0.277677086302049,4,-0.925089179461779,0.4,9
"X03AB.1",49,1.43374333470092,1.40830183633169,0.167919780085873,5,0.151509836162365,0.5,9
"X03AC.1",36,1.26369739528271,1.30515488819015,0.262992974309123,6,-0.157637263947277,0.6,9
"X03AD.1",36,1.5005936935989,1.48705661280309,0.135513768623423,5,0.0998945046936656,0.5,9
"X03AE.1",46,1.36508433538073,1.23134446013241,0.243728510479713,8,0.548724788023725,0.8,9
"X03AF.1",45,1.23463068169412,1.31350720657727,0.224747419922279,5,-0.350956308688355,0.5,9
"X03AH.1",37,1.12081942153145,1.37194863996309,0.153243705179177,1,-1.63875715572148,0.1,9
"X03AL.1",40,1.41020990866582,1.35601300262958,0.178188605315684,6,0.304154723811998,0.6,9
"X03AM.1",44,1.31516598137135,1.26043502363464,0.199675482151546,6,0.274099539647872,0.6,9
"X03AN.1",36,1.23606686260756,1.40118403207276,0.22163546967333,4,-0.744994335557243,0.4,9
"X05AB.1",21,1.19954645689351,1.22864809664772,0.215026768303259,4,-0.135339613685532,0.4,9
"X05AF.1",13,1.35681001731355,1.09598324757561,0.316010696395058,8,0.825373231708155,0.8,9
"X00AC.2",31,1.54745782128933,1.33055467189526,0.388150756894889,7,0.558811610028135,0.7,9
"X00AD.2",21,2.01613244047518,1.25565938753464,0.434761494801324,10,1.74917296502548,1,9
"X00AE.2",63,1.73374237407889,1.37149407416792,0.207336156072901,10,1.74715450875628,1,9
"X00AF.2",49,1.76350570532157,1.4480532322202,0.161121119410221,10,1.95785924437517,1,9
"X00AG.2",51,1.73423038423195,1.47203411821698,0.129546334555846,10,2.02395742738626,1,9
"X00AH.2",31,1.94249469074425,1.38028220984767,0.338526344684787,10,1.66076433850392,1,9
"X00AI.2",44,1.73866591019073,1.47979379906072,0.203472724069525,9,1.27226935361396,0.9,9
"X00AJ.2",49,1.82222825594298,1.46450025167344,0.20224603918459,10,1.76877631676652,1,9
"X00AK.2",33,1.92982818121295,1.3757410387032,0.361983382400591,10,1.53069773213117,1,9
"X00AM.2",43,2.65556870864992,1.45452228984918,0.556671983147778,9,2.15754781120699,0.9,9
"X00AN.2",41,1.94623216806986,1.49381209890801,0.33220331659354,10,1.36187703904053,1,9
"X00AO.2",59,1.71082297289267,1.47893890907569,0.11078860080899,10,2.09303179319656,1,9
"X02AB.2",46,1.40510682025135,1.44002262915093,0.229698576134031,6,-0.152007075913264,0.6,9
"X02AC.2",49,1.34828505915308,1.37271921085468,0.17729675170145,5,-0.137814999243453,0.5,9
"X02AF.2",48,1.42037367890508,1.4092469897313,0.200551541346294,6,0.0554804470665309,0.6,9
"X02AG.2",47,1.34941601486004,1.30757786778209,0.226199030696178,6,0.184961655004396,0.6,9
"X02AH.2",41,1.43326887027005,1.42467315525684,0.18556447775568,6,0.0463219853130113,0.6,9
"X02AK.2",42,1.41119106105581,1.37141786114341,0.198843606507285,6,0.200022523283597,0.6,9
"X02AL.2",41,1.29736228500369,1.40810541932913,0.194866446529164,4,-0.568302733990017,0.4,9
"X02AM.2",41,1.35515317818178,1.351202660065,0.227056615505569,5,0.0173988241125822,0.5,9
"X02AN.2",56,1.4160907179683,1.43446244017498,0.226219238362763,6,-0.081212023962461,0.6,9
"X02AO.2",44,1.46943906460125,1.41952819022395,0.196539496949065,6,0.253948316506796,0.6,9
"X03AB.2",33,1.40681239343713,1.4003969211377,0.17949675095829,6,0.035741439692802,0.6,9
"X03AC.2",40,1.18657048066201,1.1000487399615,0.272213270310456,8,0.317845418049726,0.8,9
"X03AD.2",37,1.32263004469917,1.43299476844243,0.129903551646984,3,-0.849589732874815,0.3,9
"X03AE.2",45,1.36406094660224,1.22678625524891,0.250299291523928,9,0.548442189019182,0.9,9
"X03AF.2",40,1.13219325745273,1.26892490121691,0.230800249479401,2,-0.592424159300525,0.2,9
"X03AG.2",45,1.35094367992562,1.50655482942355,0.116081044988705,2,-1.34053884088552,0.2,9
"X05AF.2",16,1.23566334775146,1.08082459233637,0.299985949824186,8,0.516153358201724,0.8,9
"X00AB.3r",34,1.2232094662149,1.38395403119757,0.272078915772097,4,-0.590801255314146,0.4,9
"X00AC.3r",41,1.13427529530982,1.3447217238599,0.308142510530649,3,-0.682951625816494,0.3,9
"X00AD.3r",23,1.69809910935812,1.2910671486132,0.342720064709839,9,1.1876513885743,0.9,9
"X00AG.3r",35,1.65984163361321,1.5183013245497,0.148663418758581,8,0.952085659306404,0.8,9
"X00AJ.3r",43,1.60971898931994,1.44749531278223,0.181597595999495,8,0.893314009168717,0.8,9
"X00AL.3r",25,1.61655244323591,1.2268831662676,0.206634439913638,9,1.88579056391165,0.9,9
"X00AO.3r",31,1.44515103695758,1.46913611765183,0.188454409429002,5,-0.127272589518694,0.5,9
"X02AB.3r",43,1.46550780540247,1.44361868238293,0.226156364073367,6,0.096787561602477,0.6,9
"X02AC.3r",42,1.26746152564791,1.43651417010106,0.202948312168422,3,-0.832983741756148,0.3,9
"X02AD.3r",27,0.77194272364616,1.24083193926617,0.22751879086076,1,-2.06088127422831,0.1,9
"X02AF.3r",20,0.520646996505225,1.31490445855053,0.259185260750853,1,-3.06443915732078,0.1,9
"X02AH.3r",33,1.39687631336482,1.40648583658148,0.224502833495892,6,-0.0428035720842459,0.6,9
"X02AM.3r",39,1.31061037148717,1.40842425287535,0.203187618940475,4,-0.481396858225091,0.4,9
"X03AA.3r",27,0.404369480662417,1.23507659031874,0.338523563145119,1,-2.45391222383009,0.1,9
"X03AB.3r",47,1.36156494749706,1.44669022670917,0.237083230350942,5,-0.359052300266457,0.5,9
"X03AC.3r",37,1.25589122937932,1.35812325074096,0.27497027987002,6,-0.37179298580907,0.6,9
"X03AD.3r",27,0.827793866738684,1.46168010121742,0.30027922581942,1,-2.11098930586671,0.1,9
"X03AE.3r",77,0.259766681052246,0.908637079080416,0.261476646328847,1,-2.48156157400044,0.1,9
"X03AG.3r",30,0.75998853498161,1.5308183921872,0.184527329822771,1,-4.17732082258998,0.1,9
"X03AH.3r",33,1.00243356992762,1.31764972694002,0.181233174921233,1,-1.73928507928748,0.1,9
"X03AJ.3r",35,0.463134821137082,0.929052031246864,0.210634182410333,1,-2.21197340706143,0.1,9
"X03AL.3r",47,1.3996978742891,1.34587166422515,0.193280384499944,5,0.27848770170448,0.5,9
"X03AM.3r",44,1.323908070248,1.31697125637358,0.221189610973871,6,0.0313613909978912,0.6,9
"X03AN.3r",36,1.23986373286989,1.40760637768163,0.239040491897302,4,-0.701733181187588,0.4,9
"X03AO.3r",51,1.34749251673782,1.36098633232913,0.179077826062889,5,-0.0753516830530104,0.5,9
"X04AB.1r",50,1.28001838747715,1.34643309155987,0.22790785853158,3,-0.29141032920336,0.3,9
"X04AC.1r",51,1.32136676727733,1.49218051442802,0.235206852247796,4,-0.726227767253721,0.4,9
"X04AD.1r",49,0.815088047037321,1.38954431426286,0.281395077000142,1,-2.04145812837105,0.1,9
"X04AF.1r",33,1.21217204525067,1.41274349414516,0.231556029816705,3,-0.866189703862428,0.3,9
"X04AG.1r",35,1.41955464757072,1.36403123202657,0.124587910048995,8,0.445656528970685,0.8,9
"X04AH.1r",36,1.07726020238095,1.22109189121338,0.343035951905154,6,-0.419290421408072,0.6,9
"X04AK.1r",40,0.856070145788363,1.03449180674946,0.205391041473823,4,-0.868692517846919,0.4,9
"X04AO.1r",36,1.25928290539961,1.31568764031356,0.198803957488132,3,-0.283720382766101,0.3,9
"X04AB.2r",43,0.908827779495199,1.35499453770838,0.323616505744553,2,-1.37868974633007,0.2,9
